1946_1	1946_1	To the Congress of the United States:  
1955_41	1955_41	And fifth, in the administration of these costly programs, we must demand  the utmost in efficiency and ingenuity. We must assure our people not only  of adequate protection but also of a defense that can be carried forward  from year to year until the threat of aggression has disappeared.  
1955_43	1955_43	The first concerns the selective service act which expires next June 30th.  For the foreseeable future, our standing forces must remain much larger  than voluntary methods can sustain. We must, therefore, extend the  statutory authority to induct men for two years of military service.  
1955_46	1955_46	Maintenance of an effective defense requires continuance of our aggressive  attack on subversion at home. In this effort we have, in the past two  years, made excellent progress. FBI investigations have been powerfully  reinforced by a new Internal Security Division in the Department of  Justice; the security activities of the Immigration and Naturalization  Service have been revitalized; an improved and strengthened security system  is in effect throughout the government; the Department of Justice and the  FBI have been armed with effective new legal weapons forged by the 83rd  Congress.  
1955_47	1955_47	We shall continue to ferret out and to destroy Communist subversion.  
1955_48	1955_48	We shall, in the process, carefully preserve our traditions and the basic  rights of our citizens.  
1955_49	1955_49	Our civil defense program is also a key element in the protection of our  country. We are developing cooperative methods with State Governors,  Mayors, and voluntary citizen groups, as well as among Federal agencies, in  building the civil defense organization. Its significance in time of war is  obvious; its swift assistance in disaster areas last year proved its  importance in time of peace.  
1955_51	1955_51	At this time the executive and legislative branches are under the  management of different political parties. This fact places both parties on  trial before the American people.  
1955_54	1955_54	In all areas basic to the strength of America, there will be to the extent  I can insure them cooperative, constructive relations between the  Executive and Legislative Branches of this government. Let the general good  be our yardstick on every great issue of our time.  
1955_55	1955_55	Our efforts to defend our freedom and to secure a just peace are, of  course, inseparable from the second great purpose of our government: to  help maintain a strong, growing economy an economy vigorous and free, in  which there are ever_increasing opportunities, just rewards for effort, and  a stable prosperity that is widely shared.  
1955_58	1955_58	So, today, the transition to a peacetime economy is largely behind us.  
1955_59	1955_59	The economic outlook is good.  
1955_60	1955_60	The many promising factors I have mentioned do not guarantee sustained  economic expansion; however, they do give us a strong position from which  to carry forward our economic growth. If we as a people act wisely, within  ten years our annual national output can rise from its present level of  about $360 billion to $500 billion, measured in dollars of stable buying  power.  
1955_63	1955_63	Last year we had a large tax cut and, for the first time in seventy_five  years a basic revision of Federal tax laws. It is now clear that defense  and other essential government costs must remain at a level precluding  further tax reductions this year. Although excise and corporation income  taxes must, therefore, be continued at their present rates, further tax  cuts will be possible when justified by lower expenditures and by revenue  increases arising from the nation's economic growth. I am hopeful that such  reductions can be made next year.  
1955_68	1955_68	In addition, the 1956 budget will recommend appropriations to start six new  reclamation and more than thirty new Corps of Engineers projects of varying  size. Going projects and investigations of potential new resource  developments will be continued.  
1955_70	1955_70	In the interest of their proper conservation, development and use,  continued vigilance will be maintained over our fisheries, wildlife  resources, the national parks and forests, and the public lands; and we  shall continue to encourage an orderly development of the nation's mineral  resources.  
1955_74	1955_74	The Council of Economic Advisers, through its public works planning  section, has made important advances during the past year in effecting this  coordination and cooperation. In view of the success of these initial  efforts, and to give more emphasis and continuity to this essential  coordination, I shall request the Congress to appropriate funds for the  support of an Office of Coordinator of Public Works in the Executive Office  of the President.  
1955_77	1955_77	Thus, farm production is gradually adjusting to markets, markets are being  expanded, and stocks are moving into use. We can now look forward to an  easing of the influences depressing farm prices, to reduced government  expenditures for purchase of surplus products, and to less Federal  intrusion into the lives and plans of our farm people. Agricultural  programs have been redirected toward better balance, greater stability and  sustained prosperity. We are headed in the right direction. I urgently  recommend to the Congress that we continue resolutely on this road.  
1955_78	1955_78	Greater attention must be directed to the needs of low_income farm  families. Twenty_eight per cent of our farm_operator families have net cash  incomes of less than $1,000 per year. Last year, at my request, careful  studies were made of the problems of these farm people. I shall later  submit recommendations designed to assure the steady alleviation of their  most pressing concerns.  
1955_79	1955_79	Because drought also remains a serious agricultural problem, I shall  recommend legislation to strengthen Federal disaster assistance programs.  This legislation will prescribe an improved appraisal of need, better  adjustment of the various programs to local conditions, and a more  equitable sharing of costs between the States and the Federal Government.  
1955_81	1955_81	We come now to the third great purpose of our government_its concern for  the health, productivity and well_being of all our people.  
1955_84	1955_84	During the past two years, notable advances were made in these functions of  government. Protection of old_age and survivors' insurance was extended to  an additional ten million of our people, and the benefits were  substantially increased. Legislation was enacted to provide unemployment  insurance protection to some four million additional Americans.  Stabilization of living costs and the halting of inflation protected the  value of pensions and savings. A broad program now helps to bring good  homes within the reach of the great majority of our people. With the  States, we are providing rehabilitation facilities and more clinics,  hospitals, and nursing homes for patients with chronic illnesses. Also with  the States, we have begun a great and fruitful expansion in the restoration  of disabled persons to employment and useful lives. In the areas of Federal  responsibility, we have made historic progress in eliminating from among  our people demeaning practices based on race or color.  
1955_86	1955_86	As part of our efforts to provide decent, safe and sanitary housing for  low_income families, we must carry forward the housing program authorized  during the 83rd Congress. We must also authorize contracts for a firm  program of 35,000 additional public housing units in each of the next two  fiscal years. This program will meet the most pressing obligations of the  Federal Government into the 1958 fiscal year for planning and building  public housing. By that time the private building industry, aided by the  Housing Act of 1954, will have had the opportunity to assume its full role  in providing adequate housing for our low income families.  
1955_90	1955_90	My recommendations will include a Federal health reinsurance service to  encourage the development of more and better voluntary health insurance  coverage by private organizations. I shall also recommend measures to  improve the medical care of that group of our citizens who, because of  need, receive Federal_State public assistance. These two proposals will  help more of our people to meet the costs of health services.  
1955_91	1955_91	To reduce the gaps in these services, I shall propose:  
1955_97	1955_97	These measures together constitute a comprehensive program holding rich  promise for better health for all of our people.  
1955_101	1955_101	However, such factors as population growth, additional responsibilities of  schools, and increased and longer school attendance have produced an  unprecedented classroom shortage. This shortage is of immediate concern to  all of our people. Positive, affirmative action must be taken now.  
1955_106	1955_106	The outlook for our wage earners can be made still more promising by  several legislative actions.  
1955_109	1955_109	Third, the Administration will propose other important measures including  occupational safety, workmen's compensation for longshoremen and harbor  workers, and the "Eight Hour Laws" applicable to Federal contractors.  Legislation will also be proposed respecting nonoccupational disability  insurance and unemployment compensation in the District of Columbia.  
1955_114	1955_114	Our concern for the individual in our country requires that we consider  several additional problems.  
1955_116	1955_116	As the complex problems of Alaska are resolved, that Territory should  expect to achieve statehood. In the meantime, there is no justification for  deferring the admission to statehood of Hawaii. I again urge approval of  this measure.  
1955_121	1955_121	And now, I return to the point at which I began the faith of our people.  
1955_125	1955_125	To advance, not merely by our words but by our acts, the determination of  our government that every citizen shall have opportunity to develop to his  fullest capacity.  
1955_129	1955_129	The address as reported from the floor appears in the Congressional Record  (vol. 101, p. 94).  
1956_1	1956_1	To the Congress of the United States:  
1956_3	1956_3	In the past three years, responding to what our people want their  Government to do, the Congress and the Executive have done much in building  a stronger, better America. There has been broad progress in fostering the  energies of our people, in providing greater opportunity for the  satisfaction of their needs, and in fulfilling their demands for the  strength and security of the Republic.  
1956_6	1956_6	War in Korea ended two and a half years ago. The collective security system  has been powerfully strengthened. Our defenses have been reinforced at  sharply reduced costs. Programs to expand world trade and to harness the  atom for the betterment of mankind have been carried forward. Our economy  has been freed from governmental wage and price controls. Inflation has  been halted; the cost of living stabilized.  
1956_7	1956_7	Government spending has been cut by more than ten billion dollars. Nearly  three hundred thousand positions have been eliminated from the Federal  payroll. Taxes have been substantially reduced. A balanced budget is in  prospect. Social security has been extended to ten million more Americans  and unemployment insurance to four million more. Unprecedented advances in  civil rights have been made. The long_standing and deep_seated problems of  agriculture have been forthrightly attacked.  
1956_10	1956_10	Many measures of great national importance recommended last year to the  Congress still demand immediate attention legislation for school and  highway construction; health and immigration legislation; water resources  legislation; legislation to complete the implementation of our foreign  economic policy; such labor legislation as amendments of the  Labor_Management Relations Act, extension of the Fair Labor Standards Act  to additional groups not now covered, and occupational safety legislation;  and legislation for construction of an atomic_powered exhibit vessel.  
1956_15	1956_15	THE DISCHARGE OF OUR WORLD RESPONSIBILITY  
1956_16	1956_16	Our world policy and our actions are dedicated to the achievement of peace  with justice for all nations.  
1956_20	1956_20	Nevertheless, it is clear that the conflict between international communism  and freedom has taken on a new complexion.  
1956_23	1956_23	In the face of Communist military power, we must, of course, continue to  maintain an effective system of collective security. This involves two  things a system which gives clear warning that armed aggression will be  met by joint action of the free nations, and deterrent military power to  make that warning effective. Moreover, the awesome power of the atom must  be made to serve as a guardian of the free community and of the peace.  
1956_28	1956_28	In the coming year much remains to be done.  
1956_30	1956_30	In the Near East we shall spare no effort in seeking to promote a fair  solution of the tragic dispute between the Arab States and Israel, all of  whom we want as our friends. The United States is ready to do its part to  assure enduring peace in that area. We hope that both sides will make the  contributions necessary to achieve that purpose. In Latin America, we shall  continue to cooperate vigorously in trade and other measures designed to  assist economic progress in the area.  
1956_43	1956_43	THE CONSTANT IMPROVEMENT OF OUR NATIONAL SECURITY  
1956_44	1956_44	Because peace is the keystone of our national policy, our defense program  emphasizes an effective flexible type of power calculated to deter or  repulse any aggression and to preserve the peace. Short of war, we have  never had military strength better adapted to our needs with improved  readiness for emergency use. The maintenance of this strong military  capability for the indefinite future will continue to call for a large  share of our national budget. Our military programs must meet the needs of  today. To build less would expose the nation to aggression. To build  excessively, under the influence of fear, could defeat our purposes and  impair or destroy the very freedom and economic system our military  defenses are designed to protect.  
1956_45	1956_45	We have improved the effectiveness and combat readiness of our forces by  developing and making operational new weapons and by integrating the latest  scientific developments, including new atomic weapons, into our military  plans. We continue to push the production of the most modern military  aircraft. The development of long_range missiles has been on an accelerated  basis for some time. We are moving as rapidly as practicable toward  nuclear_powered aircraft and ships. Combat capability, especially in terms  of firepower, has been substantially increased. We have made the  adjustments in personnel permitted by the cessation of the Korean War, the  buildup of our allies and the introduction of new weapons. The services are  all planning realistically on a long_term basis.  
1956_47	1956_47	In the last analysis our real strength lies in the caliber of the men and  women in our Armed Forces, active and Reserve. Much has been done to  attract and hold capable military personnel, but more needs to be done.  This year, I renew my request of last year for legislation to provide  proper medical care for military dependents and a more equitable survivors'  benefit program. The Administration will prepare additional recommendations  designed to achieve the same objectives, including career incentives for  medical and dental officers and nurses, and increases in the proportion of  regular officers.  
1956_48	1956_48	Closely related to the mission of the Defense Department is the task of the  Federal Civil Defense Administration. A particular point of relationship  arises from the fact that the key to civil defense is the expanded  continental defense program, including the distant early warning system.  Our Federal civil defense authorities have made progress in their program,  and now comprehensive studies are being conducted jointly by the Federal  Civil Defense Administration, the States, and critical target cities to  determine the best procedures that can be adopted in case of an atomic  attack. We must strengthen Federal assistance to the States and cities in  devising the most effective common defense.  
1956_51	1956_51	A third objective of the Administration is:  
1956_53	1956_53	A public office is, indeed, a public trust. None of its aspects is more  demanding than the proper management of the public finances. I refer now  not only to the indispensable virtues of plain honesty and trustworthiness  but also to the prudent, effective and conscientious use of tax money. I  refer also to the attitude of mind that makes efficient and economical  service to the people a watchword in our government.  
1956_54	1956_54	Over the long term, a balanced budget is a sure index to thrifty  management in a home, in a business or in the Federal Government. When  achievement of a balanced budget is for long put off in a business or home,  bankruptcy is the result. But in similar circumstances a government resorts  to inflation of the money supply. This inevitably results in depreciation  of the value of the money, and an increase in the cost of living. Every  investment in personal security is threatened by this process of inflation,  and the real values of the people's savings, whether in the form of  insurance, bonds, pension and retirement funds or savings accounts are  thereby shriveled.  
1956_55	1956_55	We have made long strides these past three years in bringing our Federal  finances under control. The deficit for fiscal year 1953 was almost 9_1/2  billion dollars. Larger deficits seemed certain deficits which would have  depreciated the value of the dollar and pushed the cost of living still  higher. But government waste and extravagance were searched out.  Nonessential activities were dropped. Government expenses were carefully  scrutinized. Total spending was cut by 14 billion dollars below the amount  planned by the previous Administration for the fiscal year 1954.  
1956_56	1956_56	This made possible and it was appropriate in the existing circumstances of  transition to a peacetime economy the largest tax cut in any year in our  history. Almost 7_1/2 billion dollars were released and every taxpayer in  the country benefited. Almost two_thirds of the savings went directly to  individuals. This tax cut also helped to build up the economy, to make jobs  in industry and to increase the production .of the many things desired to  improve the scale of living for the great majority of Americans.  
1956_57	1956_57	The strong expansion of the economy, coupled with a constant care for  efficiency in government operations and an alert guard against waste and  duplication, has brought us to a prospective balance between income and  expenditure. This is being done while we continue to strengthen our  military security.  
1956_61	1956_61	It is unquestionably true that our present tax level is very burdensome  and, in the interest of long term and continuous economic growth, should be  reduced when we prudently can. It is essential, in the sound management of  the Government's finances, that we be mindful of our enormous national debt  and of the obligation we have toward future Americans to reduce that debt  whenever we can appropriately do so. Under conditions of high peacetime  prosperity, such as now exist, we can never justify going further into debt  to give ourselves a tax cut at the expense of our children. So, in the  present state of our financial affairs, I earnestly believe that a tax cut  can be deemed justifiable only when it will not unbalance the budget, a  budget which makes provision for some reduction, even though modest, in our  national debt. In this way we can best maintain fiscal integrity.  
1956_62	1956_62	A fourth aim of our program is:  
1956_63	1956_63	TO FOSTER A STRONG ECONOMY  
1956_68	1956_68	In successful prosecution of the war, the nation called for the utmost  effort of its farmers. Their response was superb, their contribution  unsurpassed. Farmers are not now to be blamed for the mountainous,  price_depressing surpluses produced in response to wartime policies and  laws that were too long continued. War markets are not the markets of  peacetime. Failure to recognize that basic fact by a timely adjustment of  wartime legislation brought its inevitable result in peacetime surpluses,  lower prices and lower incomes for our farmers.  
1956_77	1956_77	I shall briefly mention four other subjects directly related to the  well_being of the economy, preliminary to their fuller discussion in the  Economic Report and later communications.  
1956_80	1956_80	A comprehensive legislative program for water conservation will be  submitted to the Congress during the Session. The development of our water  resources cannot be accomplished overnight. The need is such that we must  make faster progress and without delay. Therefore, I strongly recommend  that action be taken at this Session on such wholly Federal projects as the  Colorado River Storage Project and the Fryingpan_Arkansas Project; on the  John Day partnership project, and other projects which provide for  cooperative action between the Federal Government and non_Federal  interests; and on legislation, which makes provision for Federal  participation in small projects under the primary sponsorship of agencies  of State and local government.  
1956_85	1956_85	Area Redevelopment  
1956_88	1956_88	Highway Legislation.  
1956_90	1956_90	In my message of February 22, 1955, I urged that measures be taken to  complete the vital 40,000 mile interstate system over a period of 10 years  at an estimated Federal cost of approximately 25 billion dollars. No  program was adopted.  
1956_92	1956_92	Aside from agriculture and the four subjects specifically mentioned, an  integral part of our efforts to foster a strong and expanding free economy  is keeping open the door of opportunity to new and small enterprises,  checking monopoly, and preserving a competitive environment. In this past  year the steady improvement in the economic health of small business has  reinforced the vitality of our competitive economy. We shall continue to  help small business concerns to obtain access to adequate financing and to  competent counsel on management, production, and marketing problems.  
1956_101	1956_101	A fundamental belief shines forth in this Republic. We believe in the worth  and dignity of the individual. We know that if we are to govern ourselves  wisely in the tradition of America we must have the opportunity to  develop our individual capacities to the utmost.  
1956_108	1956_108	Other needs in the area of social welfare include increased child welfare  services, extension of the program of aid to dependent children,  intensified attack on juvenile delinquency, and special attention to the  problems of mentally retarded children. The training of more skilled  workers for these fields and the quest for new knowledge through research  in social welfare are essential. Similarly the problems of our aged people  need our attention.  
1956_112	1956_112	The response of government to human concerns embraces, of course, other  measures of broad public interest, and of special interest to our working  men and women. The need still exists for improvement of the Labor  Management Relations Act. The recommendations I submitted to the Congress  last year take into account not only the interests of labor and management  but also the public welfare. The needed amendments should be enacted  without further delay.  
1956_115	1956_115	In the field of human needs, we must carry forward the housing program,  which is contributing so greatly to the well_being of our people and the  prosperity of our economy. Home ownership is now advanced to the point  where almost three of every five families in our cities, towns, and suburbs  own the houses they live in.  
1956_118	1956_118	With so large a number of the American people desiring to modernize and  improve existing dwellings, I recommend that the Title 1 program for  permanent improvements in the home be liberalized.  
1956_120	1956_120	The legislation I have recommended for workers in private industry should  be accompanied by a parallel effort for the welfare of Government  employees. We have accomplished much in this field, including a  contributory life insurance program; equitable pay increases and a fringe  benefits program, covering many needed personnel policy changes, from  improved premium pay to a meaningful incentive award program.  
1956_121	1956_121	Additional personnel management legislation is needed in this Session. As I  stated last year, an executive pay increase is essential to efficient  governmental management. Such an increase, together with needed adjustments  in the pay for the top career positions, is also necessary to the equitable  completion of the Federal pay program initiated last year. Other  legislation will be proposed, including legislation for prepaid group  health insurance for employees and their dependents and to effect major  improvements in the Civil Service retirement system.  
1956_123	1956_123	We are proud of the progress our people have made in the field of civil  rights. In Executive Branch operations throughout the nation, elimination  of discrimination and segregation is all but completed. Progress is also  being made among contractors engaged in furnishing Government services and  requirements. Every citizen now has the opportunity to fit himself for and  to hold a position of responsibility in the service of his country. In the  District of Columbia, through the voluntary cooperation of the people,  discrimination and segregation are disappearing from hotels, theaters,  restaurants and other facilities.  
1956_124	1956_124	It is disturbing that in some localities allegations persist that Negro  citizens are being deprived of their right to vote and are likewise being  subjected to unwarranted economic pressures. I recommend that the substance  of these charges be thoroughly examined by a Bipartisan Commission created  by the Congress. It is hoped that such a commission will be established  promptly so that it may arrive at findings which can receive early  consideration.  
1956_129	1956_129	In keeping with our responsibility of world leadership and in our own self  interest, I again point out to the Congress the urgent need for revision of  the immigration and nationality laws. Our nation has always welcomed  immigrants to our shores. The wisdom of such a policy is clearly shown by  the fact that America has been built by immigrants and the descendants of  immigrants. That policy must be continued realistically with present day  conditions in mind.  
1956_131	1956_131	The law should be amended to permit the Secretary of State and the Attorney  General to waive the requirements of fingerprinting on a reciprocal basis  for persons coming to this country for temporary visits. This and other  changes in the law are long overdue and should be taken care of promptly.  Detailed recommendations for revision of the immigration laws will be  submitted to the Congress.  
1956_132	1956_132	I am happy to report substantial progress in the flow of immigrants under  the Refugee Relief Act of 1953; however, I again request this Congress to  approve without further delay the urgently needed amendments to that act  which I submitted in the last Session. Because of the high prosperity in  Germany and Austria, the number of immigrants from those countries will be  reduced. This will make available thousands of unfilled openings which I  recommend be distributed to Greece and Italy and to escapees from behind  the Iron Curtain.  
1956_133	1956_133	Once again I ask the Congress to join with me in demonstrating our belief  in the right of suffrage. I renew my request that the principle of  self_government be extended and the right of suffrage granted to the  citizens of the District of Columbia.  
1956_135	1956_135	Progress, however, will be realized only as it is more than matched by a  continuing growth in the spiritual strength of the nation. Our dedication  to moral values must be complete in our dealings abroad and in our  relationships among ourselves. We have single_minded devotion to the common  good of America. Never must we forget that this means the well_being, the  prosperity, the security of all Americans in every walk of life.  
1957_1	1957_1	To the Congress of the United States:  
1957_4	1957_4	In the world today, the surging and understandable tide of nationalism is  marked by widespread revulsion and revolt against tyranny, injustice,  inequality and poverty. As individuals, joined in a common hunger for  freedom, men and women and even children pit their spirit against guns and  tanks. On a larger scale, in an ever more persistent search for the  self_respect of authentic sovereignty and the economic base on which  national independence must rest, peoples sever old ties; seek new  alliances; experiment sometimes dangerously in their struggle to satisfy  these human aspirations.  
1957_14	1957_14	Through the past four years these principles have guided the legislative  programs submitted by the Administration to the Congress. As we attempt to  apply them to current events, domestic and foreign, we must take into  account the complex entity that is the United States of America; what  endangers it; what can improve it.  
1957_15	1957_15	The visible structure is our American economy itself. After more than a  century and a half of constant expansion, it is still rich in a wide  variety of natural resources. It is first among nations in its people's  mastery of industrial skills. It is productive beyond our own needs of many  foodstuffs and industrial products. It is rewarding to all our citizens in  opportunity to earn and to advance in self_realization and in  self_expression. It is fortunate in its wealth of educational and cultural  and religious centers. It is vigorously dynamic in the limitless initiative  and willingness to venture that characterize free enterprise. It is  productive of a widely shared prosperity.  
1957_21	1957_21	In this regard I call on leaders in business and in labor to think well on  their responsibility to the American people. With all elements of our  society, they owe the Nation a vigilant guard against the inflationary  tendencies that are always at work in a dynamic economy operating at  today's high levels. They can powerfully help counteract or accentuate such  tendencies by their wage and price policies.  
1957_28	1957_28	In the light of this report, there are two things I believe we should keep  constantly in mind. The first is that each of our great river valleys  should be considered as a whole. Piecemeal operations within each lesser  drainage area can be self_defeating or, at the very least, needlessly  expensive. The second is that the domestic and industrial demands for water  grow far more rapidly than does our population.  
1957_43	1957_43	The Administration will, through future messages either directly from me or  from heads of the departments and agencies, transmit to the Congress  specific recommendations. These will involve our financial and fiscal  affairs, our military and civil defenses; the administration of justice;  our agricultural economy; our domestic and foreign commerce; the urgently  needed increase in our postal rates; the development of our natural  resources; our labor laws, including our labor_management relations  legislation, and vital aspects of the health, education and welfare of our  people. There will be special recommendations dealing with such subjects as  atomic energy, the furthering of public works, the continued efforts to  eliminate government competition with the businesses of tax_paying  citizens.  
1957_48	1957_48	Another truth is that our survival in today's world requires modern,  adequate, dependable military strength. Our Nation has made great strides  in assuring a modern defense, so armed in new weapons, so deployed, so  equipped, that today our security force is the most powerful in our  peacetime history. It can punish heavily any enemy who undertakes to attack  us. It is a major deterrent to war.  
1957_55	1957_55	This quest requires as well a constructive attitude among all the nations  of the free world toward expansion of trade and investment, that can give  all of us opportunity to work out economic betterment.  
1957_59	1957_59	World events have magnified both the responsibilities and the opportunities  of the United States Information Agency. Just as, in recent months, the  voice of communism has become more shaken and confused, the voice of truth  must be more clearly heard. To enable our Information Agency to cope with  these new responsibilities and opportunities, I am asking the Congress to  increase appreciably the appropriations for this program and for  legislation establishing a career service for the Agency's overseas foreign  service officers.  
1957_60	1957_60	The recent historic events in Hungary demand that all free nations share to  the extent of their capabilities in the responsibility of granting asylum  to victims of Communist persecution. I request the Congress promptly to  enact legislation to regularize the status in the United States of  Hungarian refugees brought here as parolees. I shall shortly recommend to  the Congress by special message the changes in our immigration laws that I  deem necessary in the light of our world responsibilities.  
1957_62	1957_62	Only five days ago I expressed to you the grave concern of your Government  over the threat of Soviet aggression in the Middle East. I asked for  Congressional authorization to help counter this threat. I say again that  this matter is of vital and immediate importance to the Nation's and the  free world's security and peace. By our proposed programs in the Middle  East, we hope to assist in establishing a climate in which constructive and  long_term solutions to basic problems of the area may be sought.  
1957_69	1957_69	In short, the world has so shrunk that all free nations are our neighbors.  Without cooperative neighbors, the United States cannot maintain its own  security and welfare, because:  
1957_70	1957_70	First, America's vital interests are world_wide, embracing both hemispheres  and every continent.  
1957_74	1957_74	May we at home, here at the Seat of Government, in all the cities and towns  and farmlands of America, support these principles in a personal effort of  dedication. Thereby each of us can help establish a secure world order in  which opportunity for freedom and justice will be more widespread, and in  which the resources now dissipated on the armaments of war can be released  for the life and growth of all humanity.  
1957_78	1957_78	Our country and its government have made mistakes human mistakes. They  have been of the head not of the heart. And it is still true that the  great concept of the dignity of all men, alike created in the image of the  Almighty, has been the compass by which we have tried and are trying to  steer our course.  
1957_80	1957_80	To achieve a more perfect fidelity to it, I submit, is a worthy ambition as  we meet together in these first days of this, the first session of the 85th  Congress.  
1957_81	1957_81	The Address as reported from the floor appears in the Congressional Record  (vol. 103, p. 387).  
1958_1	1958_1	Mr. President, Mr. Speaker, Members of the 85th Congress:  
1958_7	1958_7	There are two tasks confronting us that so far outweigh all other that I  shall devote this year's message entirely to them. The first is to ensure  our safety through strength.  
1958_8	1958_8	As to our strength, I have repeatedly voiced this conviction: We now have a  broadly based and efficient defensive strength, including a great deterrent  power, which is, for the present, our main guarantee against war; but,  unless we act wisely and promptly, we could lose that capacity to deter  attack or defend ourselves.  
1958_9	1958_9	My profoundest conviction is that the American people will say, as one man:  No matter what the exertions or sacrifices, we shall maintain that  necessary strength!  
1958_10	1958_10	But we could make no more tragic mistake than merely to concentrate on  military strength.  
1958_11	1958_11	For if we did only this, the future would hold nothing for the world but an  Age of Terror.  
1958_16	1958_16	But what makes the Soviet threat unique in history is its  all inclusiveness. Every human activity is pressed into service as a  weapon of expansion. Trade, economic development, military power, arts,  science, education, the whole world of ideas all are harnessed to this  same chariot of expansion.  
1958_17	1958_17	The Soviets are, in short, waging total cold war.  
1958_18	1958_18	The only answer to a regime that wages total cold war is to wage total  peace.  
1958_21	1958_21	Military power serves the cause of security by making prohibitive the cost  of any aggressive attack.  
1958_29	1958_29	At this moment, the consensus of opinion is that we are probably somewhat  behind the Soviets in some areas of long_range ballistic missile  development. But it is my conviction, based on close study of all relevant  intelligence, that if we make the necessary effort, we will have the  missiles, in the needed quantity and in time, to sustain and strengthen the  deterrent power of our increasingly efficient bombers. One encouraging fact  evidencing this ability is the rate of progress we have achieved since we  began to concentrate on these missiles.  
1958_30	1958_30	The intermediate ballistic missiles, Thor and Jupiter, have already been  ordered into production. The parallel progress in the intercontinental  ballistic missile effort will be advanced by our plans for acceleration.  The development of the submarine_based Polaris missile system has  progressed so well that its future procurement schedules are being moved  forward markedly.  
1958_38	1958_38	Up to this point, I have talked solely about our military strength to deter  a possible future war.  
1958_43	1958_43	Admittedly, most of us did not anticipate the psychological impact upon the  world of the launching of the first earth satellite. Let us not make the  same kind of mistake in another field, by failing to anticipate the much  more serious impact of the Soviet economic offensive.  
1958_46	1958_46	If our history teaches us anything, it is this lesson: so far as the  economic potential of our nation is concerned, the believers in the future  of America have always been the realists. I count myself as one of this  company.  
1958_52	1958_52	1. DEFENSE REORGANIZATION  
1958_53	1958_53	The first need is to assure ourselves that military organization  facilitates rather than hinders the functioning of the military  establishment in maintaining the security of the nation.  
1958_54	1958_54	Since World War II, the purpose of achieving maximum organizational  efficiency in a modern defense establishment has several times occasioned  action by the Congress and by the Executive.  
1958_55	1958_55	The advent of revolutionary new devices, bringing with them the problem of  overall continental defense, creates new difficulties, reminiscent of those  attending the advent of the airplane half a century ago.  
1958_56	1958_56	Some of the important new weapons which technology has produced do not fit  into any existing service pattern. They cut across all services, involve  all services, and transcend all services, at every stage from development  to operation. In some instances they defy classification according to  branch of service.  
1958_59	1958_59	I am not attempting today to pass judgment on the charge of harmful service  rivalries. But one thing is sure. Whatever they are, America wants them  stopped.  
1958_61	1958_61	Meanwhile, without anticipating the detailed form that a reorganization  should take, I can state its main lines in terms of objectives:  
1958_64	1958_64	In recognition of the need for single control in some of our most advanced  development projects, the Secretary of Defense has already decided to  concentrate into one organization all the anti_missile and satellite  technology undertaken within the Department of Defense.  
1958_65	1958_65	Another requirement of military organization is a clear subordination of  the military services to duly constituted civilian authority. This control  must be real; not merely on the surface.  
1958_66	1958_66	Next there must be assurance that an excessive number of compartments in  organization will not create costly and confusing compartments in our  scientific and industrial effort.  
1958_69	1958_69	The second major action item is the acceleration of the defense effort in  particular areas affected by the fast pace of scientific and technological  advance.  
1958_72	1958_72	We must protect and disperse our striking forces and increase their  readiness for instant reaction. This means more base facilities and standby  crews.  
1958_73	1958_73	We must maintain deterrent retaliatory power. This means, among other  things, stepped_up long range missile programs; accelerated programs for  other effective missile systems; and, for some years, more advanced  aircraft.  
1958_81	1958_81	As for the mutual economic assistance program, the benefit to us is  threefold. First, the countries receiving this aid become bulwarks against  communist encroachment as their military defenses and economies are  strengthened. Nations that are conscious of a steady improvement in their  industry, education, health and standard of living are not apt to fall prey  to the blandishments of communist imperialists.  
1958_83	1958_83	Third, the mutual confidence that comes from working together on  constructive projects creates an atmosphere in which real understanding and  peace can flourish.  
1958_85	1958_85	In proposals for future economic aid, I am stressing a greater use of  repayable loans, through the Development Loan Fund, through funds generated  by sale of surplus farm products, and through the Export_Import Bank.  
1958_87	1958_87	One great obstacle to the economic aid program in the past has been, not a  rational argument against it on the merits, but a catchword: "give_away  program."  
1958_88	1958_88	The real fact is that no investment we make in our own security and peace  can pay us greater dividends than necessary amounts of economic aid to  friendly nations.  
1958_94	1958_94	World trade supports a significant segment of American industry and  agriculture. It provides employment for four and one_half million American  workers. It helps supply our ever increasing demand for raw materials. It  provides the opportunity for American free enterprise to develop on a  worldwide scale. It strengthens our friends and increases their desire to  be friends. World trade helps to lay the groundwork for peace by making all  free nations of the world stronger and more self_reliant.  
1958_95	1958_95	America is today the world's greatest trading nation. If we use this great  asset wisely to meet the expanding demands of the world, we shall not only  provide future opportunities for our own business, agriculture, and labor,  but in the process strengthen our security posture and other prospects for  a prosperous, harmonious world.  
1958_96	1958_96	As President McKinley said, as long ago as 1901: "Isolation is no longer  possible or desirable .... The period of exclusiveness is past."  
1958_97	1958_97	5. SCIENTIFIC COOPERATION WITH OUR ALLIES  
1958_99	1958_99	It is wasteful in the extreme for friendly allies to consume talent and  money in solving problems that their friends have already solved all  because of artificial barriers to sharing. We cannot afford to cut  ourselves off from the brilliant talents and minds of scientists in  friendly countries. The task ahead will be hard enough without handcuffs of  our own making.  
